Campaign Name,Email,Email Provider,Lead Status,Interest Status,Last contacted from,website,firstName,companyName,pause_until,Email Security Gateway Provider,_remove_reason
MedSpa - TX - Sprint72h,info@indiantypefoundry.com,Google,Active | Contacted,Lead,sara@tryvanguardscale.com,https://fancycurvesnmore.com/,,Fancy Curves N' More,,Not Found,blocklist
MedSpa - TX - Sprint72h,team@latofonts.com,Other,Active | Contacted,Lead,andy@tryvanguardscale.com,https://andreasmedspa.com/,,Andrea's Med Spa,,Not Found,blocklist
MedSpa - TX - Sprint72h,accolade-2@2x.png,Not Found,Active | Not yet contacted,Lead,,https://txcosmetics.com/,,Memorial Center for Cosmetic Surgery: Houston Plastic Surgery,,Not Found,asset_filename
MedSpa - TX - Sprint72h,jack@greensock.com,Other,Active | Not yet contacted,Lead,,https://www.faceforwardhouston.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,Face Forward Houston: Regina Rodman M.D.,,Not Found,blocklist
MedSpa - TX - Sprint72h,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Not Found,Active | Not yet contacted,Lead,,http://www.acspromedspa.com/,,ACS Promed spa,,Not Found,wix_sentry
MedSpa - TX - Sprint72h,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,Not Found,Active | Not yet contacted,Lead,,https://www.stardomtouchesbodyll.com/,,"Stardom Touches Body II, Lymphatic Massage and Facials",,Not Found,wix_sentry
MedSpa - TX - Sprint72h,support@vagaro.com,Microsoft,Active | Not yet contacted,Lead,,https://www.vagaro.com/meaesthetics2,,ME aesthetics LLC,,Not Found,blocklist
MedSpa - TX - Sprint72h,info@txrosemedspa-com-880373.hostingersite.com,Not Found,Active | Not yet contacted,Lead,,http://txrosemedspa.com/,,Rose medical spa,,Not Found,hostinger_staging
MedSpa - TX - Sprint72h,u002faccount-ro-treatment_center_color_01_1@2x.png,Not Found,Active | Not yet contacted,Lead,,https://www.healthprofs.com/profile/523724,,CharSpa Wellness & Aesthetics,,Not Found,asset_filename
MedSpa - TX - Sprint72h,info@mysite.com,Other,Active | Not yet contacted,Lead,,https://www.medispatexas.com/,,Medi Spa,,Not Found,blocklist
